Region,DMFCategory,TypeOf,PropLastYear,meanLastYear,obs,PropLast4,meanLast4
SSI,Icon,Pedestrian,0.166666666666667,-0.287741271566094,6,0.333333333333333,-0.111108704336165
SSI,Back Country,Pedestrian,0.625,-0.0231056197810212,8,0.5,0.0101177468794478
ESI,Back Country,Pedestrian,0.666666666666667,-0.0089709784949891,3,0.333333333333333,-0.0107926840164082
HWT,Local Treasure,Pedestrian,0.454545454545455,-0.085130485622228,11,0.272727272727273,-0.152928545689116
HWT,Gateway,Pedestrian,0.333333333333333,-0.146392733491699,9,0.333333333333333,-0.135295013049839
ESI,Gateway,Pedestrian,0.5,-0.0298000963626772,6,0.5,-0.172215561284652
WSI,Local Treasure,Pedestrian,0.2,-0.335902432880439,5,0.2,-0.37778415609762
CNI,Gateway,Pedestrian,0,-0.43947194508076,4,0,-0.507554512713428
NSI,Gateway,Pedestrian,0.111111111111111,-0.187882216064193,9,0.111111111111111,-0.223984419305586
LNI,Icon,Pedestrian,0.5,7.25444378547261,2,1,10.0696811774429
WSI,Icon,Pedestrian,0.2,0.0188565321760649,5,0.2,0.0873499971925615
AKL,Local Treasure,Pedestrian,0.25,0.329066073511884,4,0.75,0.250482345558665
CNI,Icon,Pedestrian,0.25,-0.216426990959822,4,0.25,-0.310109622265881
NSI,Icon,Pedestrian,0.333333333333333,-0.103840924706745,3,0.333333333333333,0.0177369876427258
NSI,Back Country,Pedestrian,0.4,-0.0190977453845596,5,0.2,-0.0648950970163908
LNI,Back Country,Pedestrian,1,0.0795146468103528,2,1,0.104304202017816
CNI,Local Treasure,Pedestrian,0.333333333333333,-0.182064918325757,9,0.222222222222222,-0.25250564127239
CNI,Back Country,Pedestrian,0.666666666666667,-0.0831270247948034,3,0.666666666666667,-0.00189399084156631
SSI,Local Treasure,Pedestrian,0.25,0.016047910534608,16,0.3125,-0.0703367168239638
LNI,Gateway,Pedestrian,0.6,1.20619772677271,5,0.4,1.33711834733206
WSI,Gateway,Pedestrian,0.4,-0.164704685925155,5,0.4,-0.241341572469321
HWT,Back Country,Pedestrian,0.5,-0.0298834663094327,6,0.5,0.0540222499893523
NNI,Local Treasure,Pedestrian,0.333333333333333,-0.0334258938787926,6,0.333333333333333,-0.104703223683144
NNI,Gateway,Pedestrian,0.25,-0.0941589090020285,4,0.5,-0.050823386511818
SSI,Gateway,Pedestrian,0.285714285714286,-0.166216285178522,7,0.142857142857143,-0.208943359859316
HWT,Icon,Pedestrian,0,-0.268952479747187,2,0,-0.211755589707748
NSI,Gateway,Door,0,-0.248824693534658,1,0,-0.35682885362407
ESI,Local Treasure,Pedestrian,0.25,-0.335206943699931,4,0.25,-0.454969256154391
HWT,Visitor Centre,Pedestrian,0,-0.281818435588814,1,0,-0.32143697281312
NSI,Local Treasure,Pedestrian,0,-0.3068217374563,3,0,-0.387277711508126
NSI,Gateway,Road,0.666666666666667,0.00782360324586468,3,0.333333333333333,-0.0748474516887842
WSI,Icon,Road,0.5,-0.123650715861954,2,0.5,-0.143773304430018
NNI,Icon,Pedestrian,0.25,-0.161890499153804,4,0.5,-0.132923856093825
CNI,Local Treasure,Bicycle,0,-0.318687794413575,1,0,-0.0642408762409471
HWT,Local Treasure,Road,0,-0.11506972425625,2,0,-0.151273366644142
SSI,Gateway,Road,0.25,-0.168643299262993,4,0.25,-0.165537566598019
AKL,Back Country,Pedestrian,0.666666666666667,0.128652190508568,3,0.666666666666667,0.116096673532468
LNI,Local Treasure,Pedestrian,0.4,0.00254264689371481,5,0.4,-0.0799015497191416
AKL,Icon,Pedestrian,0,-0.104286803351234,1,0,-0.107931021714994
AKL,Gateway,Pedestrian,0,-0.0593658097339308,1,1,0.322844653071127
NSI,Icon,Road,1,0.0105886671589654,1,0,-0.298284771027688
HWT,Icon,Bicycle,1,0.562876894972506,1,1,0.299914310197087
WSI,Back Country,Pedestrian,1,0.363012853723231,1,1,0.112756690007061
WSI,Gateway,Bicycle,1,0.291426552064986,1,1,0.139998643224369
WSI,Back Country,Bicycle,1,0.093147795949051,1,0,-0.00251684398647634
NSI,Gateway,Bicycle,1,0.0120786570325602,1,0,-0.0279588612215241
WSI,Local Treasure,Road,0.5,0.0591782330143197,2,0.5,0.0829650238548011
CNI,Back Country,Road,1,0.124168153403779,1,1,0.219610284475243
WSI,Gateway,Road,1,0.057158622779664,1,1,0.00201073008710447
WSI,Not assigned,Road,0,-0.567758902624671,1,0,-0.65610884428008
SSI,Local Treasure,Road,0,-0.308633605292198,1,0,-0.310303868051946
NSI,Back Country,Road,1,0.204533547423714,1,1,0.103765314449655
NNI,Icon,Road,0,-0.0261272369735467,1,1,0.108406020863311
SSI,Icon,Bicycle,1,0.255697076413744,1,1,0.251962323390895
NSI,Local Treasure,Road,0.5,0.979976422029424,2,0.5,1.01064786087346
LNI,Gateway,Bicycle,0,-0.051571327140053,1,0,-0.319232514197486
WSI,Local Treasure,Bicycle,0,-0.608979968393107,1,0,-0.312405952428089
